AOI,AP,AUC,Dice,IOU
L15-0387E-1276N_1549_3087_13,0.6118795379019007,0.9767957420782369,0.16206110668688536,0.08838868746037797
L15-0566E-1185N_2265_3451_13,0.4828566784096869,0.9934992217667559,0.22629240818585203,0.13630067551600264
L15-0632E-0892N_2528_4620_13,0.5650290470334722,0.9754743140218279,0.10084930881783233,0.05318996677971516
L15-1015E-1062N_4061_3941_13,0.5795348227015709,0.974276471217617,0.0325218033438439,0.01658259431777519
L15-1200E-0847N_4802_4803_13,0.5746638834210113,0.9177868453610952,0.14732029282452605,0.07961409835043465
L15-1276E-1107N_5105_3761_13,0.4588792757530547,0.9621730774143805,0.03257635516692158,0.016566387912131192
L15-1438E-1134N_5753_3655_13,0.6348237146766756,0.8202915405708177,0.050527711323415866,0.025953019553131104
L15-1615E-1206N_6460_3366_13,0.6096231320860809,0.9434535155969321,0.2107801244452809,0.11958471011337053
L15-1690E-1211N_6763_3346_13,0.7873201974115404,0.971229039737764,0.4372436518653118,0.2816500457974423
L15-1848E-0793N_7394_5018_13,,,0.09690589556623772,0.05431171287636695
